name,company,work_area,salary,requirements,company_type,company_size,field
Java初级开发工程师,沈阳金创想系统集成有限公司,沈阳,3-4.5千/月,"['2年经验', '本科']",民营公司,50-150人,计算机软件
Java高级软件工程师,广州市迈尔汛科技有限公司,广州-黄埔区,0.8-2.5万/月,"['5-7年经验', '本科']",外资（非欧美）,少于50人,计算机软件
Java高级开发工程师,广州航旅天空信息科技有限公司,广州-黄埔区,1.2-1.5万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
Java高级开发工程师,江苏优利信教育科技有限公司,无锡-江阴市,1-2万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师,深圳竹信科技有限公司,深圳-南山区,1.2-1.6万/月,"['2年经验', '本科']",民营公司,50-150人,通信/电信/网络设备
Java开发助理,深圳市佳蔓隆电子有限公司,深圳-福田区,0.6-1万/月,"['无需经验', '本科']",民营公司,少于50人,计算机软件
Java中级开发工程师,北京天创恒为科技有限公司,北京-海淀区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
Java中级开发工程师,河北财翔信息技术有限公司,石家庄-桥西区,0.6-1万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师,长沙章鱼软件科技有限公司,长沙,0.5-1万/月,"['2年经验', '大专']",民营公司,少于50人,计算机软件
Java工程师实训生,青岛青软科技有限公司,青岛-市北区,6-8千/月,"['无需经验', '大专']",民营公司,50-150人,计算机软件
Java开发中级（双休+五险一金）,合肥中科志远人工智能技术有限公司,合肥-包河区,1-1.3万/月,"['2年经验', '本科']",民营公司,50-150人,计算机软件
java开发项目经理,上海上大鼎正软件股份有限公司北京分公司,北京-海淀区,1.8-3万/月,"['8-9年经验', '本科']",民营公司,,计算机软件
Java开发工程师,深圳厚生新金融控股有限公司,深圳-福田区,1.2-2.3万/月,"['5-7年经验', '本科']",民营公司,150-500人,金融/投资/证券
Java架构师 (MJ009369),广联达,深圳-福田区,3-4万/月,"['10年以上经验', '本科']",上市公司,5000-10000人,计算机软件
Java开发工程师,厦门启鸿博科技有限公司,长沙-芙蓉区,4.5-6千/月,"['1年经验', '大专']",民营公司,少于50人,计算机软件
高级java工程师,福州鼓楼攀登信息科技有限公司,福州-鼓楼区,0.8-1.2万/月,"['3-4年经验', '大专']",国企,少于50人,计算机服务(系统、数据服务、维修)
Java开发工程师,深圳市同和信息技术有限公司,深圳-南山区,1.5-2万/月,"['3-4年经验', '大专']",民营公司,500-1000人,计算机软件
java软件开发工程师,东莞市时尚电器有限公司,东莞-莞城区,6-8千/月,"['1年经验', '大专']",民营公司,1000-5000人,家具/家电/玩具/礼品
Java中级开发工程师,薪得付信息技术(上海)有限公司,上海-闵行区,1.5-1.8万/月,"['2年经验', '本科']",外资（欧美）,500-1000人,专业服务(咨询、人力资源、财会)
Java开发工程师,大连隆基信息技术有限公司,大连,1.2-2万/月,"['3-4年经验', '本科']",外资（非欧美）,150-500人,计算机软件
Java开发工程师,深圳市显科科技有限公司,深圳-南山区,1-1.5万/月,"['1年经验', '本科']",民营公司,150-500人,电子技术/半导体/集成电路
Java高级开发工程师,重庆爱车天下科技有限公司,重庆-渝中区,1.5-2万/月,"['5-7年经验', '大专']",民营公司,少于50人,计算机软件
java工程师（QY-XA-ZN）,太极计算机股份有限公司,西安-高新技术产业开发区,1.5-2万/月,['5-7年经验'],国企,1000-5000人,计算机软件
Java开发工程师,南京嘉环科技股份有限公司,西安-莲湖区,1-1.5万/月,"['3-4年经验', '大专']",民营公司,5000-10000人,通信/电信/网络设备
Java中级开发工程师,北京传习新天教育科技有限公司,北京-西城区,1.5-2万/月,"['3-4年经验', '大专']",民营公司,,计算机软件
Java开发工程师,HONOR荣耀手机营销项目,深圳-福田区,2-2.5万/月,"['2年经验', '本科']",外资（欧美）,5000-10000人,通信/电信运营、增值服务
JAVA高级软件开发工程师,重庆维智畅云信息技术服务有限公司,长沙-岳麓区,1.8-2万/月,"['5-7年经验', '大专']",民营公司,,计算机软件
Java后台开发工程师（编号：GY）,南京中新赛克科技有限责任公司,南京-雨花台区,1.3-2万/月,"['3-4年经验', '本科']",上市公司,1000-5000人,通信/电信/网络设备
JAVA高级开发工程师—SZYX,梦网科技,深圳-南山区,1.8-2.5万/月,"['3-4年经验', '本科']",上市公司,1000-5000人,互联网/电子商务
Java开发工程师,万宝盛华企业管理咨询（上海）有限公司浦东分公司,北京,1.5-2万/月,"['1年经验', '本科']",外资（欧美）,1000-5000人,中介服务
中高级-JAVA开发（深圳）26,上海复深蓝软件股份有限公司,深圳-南山区,1.5-2.5万/月,"['5-7年经验', '大专']",上市公司,1000-5000人,计算机软件
Java开发工程师（base上海）,北京开科唯识技术股份有限公司,上海-浦东新区,1-2万/月,"['2年经验', '本科']",合资,1000-5000人,计算机软件
后端Java开发工程师,湖北众堃科技股份有限公司,武汉-江夏区,1.2-2万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
后端java,北京市脉山龙信息技术有限公司,上海-浦东新区,1.1-1.7万/月,"['3-4年经验', '本科']",民营公司,150-500人,计算机服务(系统、数据服务、维修)
JAVA开发-济南,沈阳新传网络科技有限公司,济南-历下区,0.6-1.2万/月,"['2年经验', '本科']",民营公司,少于50人,计算机软件
Java中高级开发工程师,朗森特科技有限公司,上海-徐汇区,1.8-3.5万/月,"['5-7年经验', '大专']",民营公司,150-500人,互联网/电子商务
Java开发工程师,群思科技（北京）有限公司,武汉-洪山区,0.9-1.2万/月,"['3-4年经验', '本科']",民营公司,150-500人,计算机服务(系统、数据服务、维修)
Java开发工程师,成都歧明通信息科技有限公司,成都-武侯区,1-1.5万/月,"['2年经验', '本科']",民营公司,少于50人,计算机服务(系统、数据服务、维修)
Java高级开发工程师,江西赣鄱云新型智慧城市技术研究有限公司,南昌-青山湖区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师4134,石家庄以岭药业股份有限公司,石家庄,0.8-1.2万/月,"['3-4年经验', '本科']",民营公司,5000-10000人,制药/生物工程
中级后台Java开发工程师(J10526),北京公瑾科技有限公司广州分公司（慧算账）,广州-天河区,1-2万/月,"['3-4年经验', '本科']",民营公司,1000-5000人,互联网/电子商务
Java开发工程师（线上面试）,深圳市华付信息技术有限公司,武汉-硚口区,1.2-1.8万/月,"['3-4年经验', '大专']",民营公司,,电子技术/半导体/集成电路
Java开发工程师,前锦网络信息技术（上海）有限公司CQCP直通车项目组,重庆,1.5-2万/月,"['3-4年经验', '本科']",外资（欧美）,少于50人,计算机软件
Java开发工程师,深圳市广和通无线股份有限公司,深圳-南山区,1-1.5万/月,"['3-4年经验', '本科']",上市公司,1000-5000人,通信/电信/网络设备
Java开发工程师,上海众意信息科技有限公司,上海,1.3-1.8万/月,"['3-4年经验', '大专']",民营公司,150-500人,计算机软件
Java开发工程师（滨江区）,深圳索信达数据技术有限公司,杭州-滨江区,1.6-2.8万/月,"['5-7年经验', '本科']",外资（非欧美）,500-1000人,互联网/电子商务
Java开发工程师,南京优倍自动化系统有限公司,南京-江宁区,1-1.5万/月,"['1年经验', '本科']",民营公司,150-500人,计算机软件
Java开发工程师,南京联坤软件技术有限公司,南京-鼓楼区,1.2-1.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
Java开发中高级开发工程师,南京安元科技有限公司,南京-浦口区,1.4-2.8万/月,"['5-7年经验', '本科']",民营公司,500-1000人,计算机软件
Java资深开发工程师,广州思软信息科技有限公司,广州-天河区,0.8-1万/月,"['3-4年经验', '大专']",民营公司,150-500人,计算机软件
java开发-北京,上海安硕信息技术股份有限公司,北京-东城区,1-1.5万/月,"['1年经验', '本科']",上市公司,1000-5000人,计算机软件
JAVA 工程师,深圳市振瀚信息技术有限公司,成都-武侯区,0.7-1万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师,大连东软思维科技发展有限公司,南京-雨花台区,2-2.5万/月,"['5-7年经验', '本科']",民营公司,1000-5000人,计算机软件
日语Java研发工程师,嘉信商务管理咨询（大连）有限公司,大连,0.8-1.1万/月,"['3-4年经验', '本科']",民营公司,,计算机软件
